Model Spend_Optim

  Variables:
    edlp : Size=312, Index=edlp_index
        Key     : Lower : Value              : Upper : Fixed : Stale : Domain
        (2, 18) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 19) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 20) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 21) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 22) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 23) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 24) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 25) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 26) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 27) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 28) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 29) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 30) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 31) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 32) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 33) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 34) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 35) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 36) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 37) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 38) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 39) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 40) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 41) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 42) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 43) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 44) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 45) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 46) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 47) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 48) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 49) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 50) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 51) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (3, 0) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (3, 1) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (3, 2) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (3, 3) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (3, 4) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (3, 5) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (3, 6) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (3, 7) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (3, 8) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (3, 9) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 10) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 11) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 12) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 13) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 14) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 15) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 16) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 17) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 18) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (3, 19) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
